# GL Journal Export - 2026-01-10
# Source of Truth: Dutchie POS API (/reporting/transactions)
# Generated: 2026-01-17T00:33:50.556Z
# Time basis: Local store time (per-store timezone conversion)
# NOTE: Verify branch codes and account mappings match your accounting system.
#
Branch	Dutchie Store Name	Account	Description	Subaccount	Ref. Number	Quantity	UOM	Debit Amount	Credit Amount
MID-KALAMA	Mint Kalamazoo	40001	Retail Income: Retail Sales	00-00	2026-01-10 DS	1.00		0.00	7,075.43
MID-KALAMA	Mint Kalamazoo	40002	Retail Income: Retail: Discounts and Coupons	00-00	2026-01-10 DS	1.00		1,713.54	0.00
MID-KALAMA	Mint Kalamazoo	40003	Retail Income: Sales Return	00-00	2026-01-10 DS	1.00		0.00	0.00
MID-KALAMA	Mint Kalamazoo	40004	Loyalty Discounts	00-00	2026-01-10 DS	1.00		129.44	0.00
MID-KALAMA	Mint Kalamazoo	23500	Taxes Payable - Sales & Use	00-00	2026-01-10 DS	1.00		0.00	886.47
MID-KALAMA	Mint Kalamazoo	10000	Cash on Hand	00-00	2026-01-10 DS	1.00		6,076.32	0.00
MID-KALAMA	Mint Kalamazoo	11010	Debit Card Receivable	00-00	2026-01-10 DS	1.00		0.00	0.00
MID-KALAMA	Mint Kalamazoo	70260	Overage/Shortage: Cash Ledger Adj	00-00	2026-01-10 DS	1.00		0.00	42.60
MID-KALAMA	Mint Kalamazoo	50000	Retail - Consumable Products for Resale	00-00	2026-01-10 DS	1.00		3,195.77	0.00
MID-KALAMA	Mint Kalamazoo	12250	Inventory - Finished Goods	00-00	2026-01-10 DS	1.00		0.00	3,195.77
NVD-RAIN	Mint Spring Valley	40001	Retail Income: Retail Sales	00-00	2026-01-10 DS	1.00		0.00	4,544.63
NVD-RAIN	Mint Spring Valley	40002	Retail Income: Retail: Discounts and Coupons	00-00	2026-01-10 DS	1.00		1,812.19	0.00
NVD-RAIN	Mint Spring Valley	40003	Retail Income: Sales Return	00-00	2026-01-10 DS	1.00		0.00	0.00
NVD-RAIN	Mint Spring Valley	40004	Loyalty Discounts	00-00	2026-01-10 DS	1.00		0.00	0.00
NVD-RAIN	Mint Spring Valley	23500	Taxes Payable - Sales & Use	00-00	2026-01-10 DS	1.00		0.00	489.34
NVD-RAIN	Mint Spring Valley	10000	Cash on Hand	00-00	2026-01-10 DS	1.00		3,086.83	0.00
NVD-RAIN	Mint Spring Valley	11010	Debit Card Receivable	00-00	2026-01-10 DS	1.00		0.00	0.00
NVD-RAIN	Mint Spring Valley	70260	Overage/Shortage: Cash Ledger Adj	00-00	2026-01-10 DS	1.00		0.00	134.95
NVD-RAIN	Mint Spring Valley	50000	Retail - Consumable Products for Resale	00-00	2026-01-10 DS	1.00		1,989.05	0.00
NVD-RAIN	Mint Spring Valley	12250	Inventory - Finished Goods	00-00	2026-01-10 DS	1.00		0.00	1,989.05
MOD-MO4	Mint St. Peters	40001	Retail Income: Retail Sales	00-00	2026-01-10 DS	1.00		0.00	40,407.88
MOD-MO4	Mint St. Peters	40002	Retail Income: Retail: Discounts and Coupons	00-00	2026-01-10 DS	1.00		14,650.53	0.00
MOD-MO4	Mint St. Peters	40003	Retail Income: Sales Return	00-00	2026-01-10 DS	1.00		0.00	0.00
