# GL Journal Export - 2026-01-06
# Source of Truth: Dutchie POS API (/reporting/transactions)
# Generated: 2026-01-29T17:35:30.975Z
# NOTE: Transactions are fetched using local timezone boundaries (midnight-to-midnight).
# Branch codes in this export are derived from Dutchie location names.
#
Branch	Dutchie Store Name	Account	Description	Subaccount	Ref. Number	Quantity	UOM	Debit Amount	Credit Amount
MID-KALAMA	Mint Kalamazoo	40001	Sales Income - Retail Sales	20-00	2026-01-06 DS	1.00		0.00	5,123.15
MID-KALAMA	Mint Kalamazoo	40002	Retail Income: Discounts and Coupons	20-00	2026-01-06 DS	1.00		1,221.03	0.00
MID-KALAMA	Mint Kalamazoo	40003	Retail Income: Sales Return	20-00	2026-01-06 DS	1.00		0.00	0.00
MID-KALAMA	Mint Kalamazoo	40004	Loyalty Discounts	20-00	2026-01-06 DS	1.00		153.44	0.00
MID-KALAMA	Mint Kalamazoo	23500	Taxes Payable - Sales & Use	00-00	2026-01-06 DS	1.00		0.00	621.78
MID-KALAMA	Mint Kalamazoo	10000	Cash on Hand	00-00	2026-01-06 DS	1.00		4,208.24	0.00
MID-KALAMA	Mint Kalamazoo	11010	Debit Card Receivable	00-00	2026-01-06 DS	1.00		169.22	0.00
MID-KALAMA	Mint Kalamazoo	70260	Overage/Shortage: Cash Ledger Adj	20-00	2026-01-06 DS	1.00		0.00	-7.00
MID-KALAMA	Mint Kalamazoo	50000	Retail COG - Consumable Products for Resale	20-00	2026-01-06 DS	1.00		2,327.73	0.00
MID-KALAMA	Mint Kalamazoo	12250	Inventory - Finished Goods	00-00	2026-01-06 DS	1.00		0.00	2,327.73
NVD-RAIN	Mint Spring Valley	40001	Sales Income - Retail Sales	20-00	2026-01-06 DS	1.00		0.00	4,273.50
NVD-RAIN	Mint Spring Valley	40002	Retail Income: Discounts and Coupons	20-00	2026-01-06 DS	1.00		1,328.89	0.00
NVD-RAIN	Mint Spring Valley	40003	Retail Income: Sales Return	20-00	2026-01-06 DS	1.00		0.00	0.00
NVD-RAIN	Mint Spring Valley	40004	Loyalty Discounts	20-00	2026-01-06 DS	1.00		0.00	0.00
NVD-RAIN	Mint Spring Valley	23500	Taxes Payable - Sales & Use	00-00	2026-01-06 DS	1.00		0.00	527.58
NVD-RAIN	Mint Spring Valley	10000	Cash on Hand	00-00	2026-01-06 DS	1.00		3,431.94	0.00
