Branch,Dutchie Store Name,Account,Description,Subaccount,Ref. Number,Quantity,UOM,Debit Amount,Credit Amount
MID-KALAMA,Mint Kalamazoo,40001,Retail Income: Retail Sales,00-00,2026-01-16 DS,1.00,,0.00,"7,312.33"
MID-KALAMA,Mint Kalamazoo,40002,Retail Income: Retail: Discounts and Coupons,00-00,2026-01-16 DS,1.00,,"1,636.90",0.00
MID-KALAMA,Mint Kalamazoo,40003,Retail Income: Sales Return,00-00,2026-01-16 DS,1.00,,0.00,0.00
MID-KALAMA,Mint Kalamazoo,40004,Loyalty Discounts,00-00,2026-01-16 DS,1.00,,240.86,0.00
MID-KALAMA,Mint Kalamazoo,23500,Taxes Payable - Sales & Use,00-00,2026-01-16 DS,1.00,,0.00,900.95
MID-KALAMA,Mint Kalamazoo,10000,Cash on Hand,00-00,2026-01-16 DS,1.00,,"6,166.10",0.00
MID-KALAMA,Mint Kalamazoo,11010,Debit Card Receivable,00-00,2026-01-16 DS,1.00,,0.00,0.00
MID-KALAMA,Mint Kalamazoo,70260,Overage/Shortage: Cash Ledger Adj,00-00,2026-01-16 DS,1.00,,0.00,169.42
MID-KALAMA,Mint Kalamazoo,50000,Retail - Consumable Products for Resale,00-00,2026-01-16 DS,1.00,,"3,344.33",0.00
MID-KALAMA,Mint Kalamazoo,12250,Inventory - Finished Goods,00-00,2026-01-16 DS,1.00,,0.00,"3,344.33"
NVD-RAIN,Mint Spring Valley,40001,Retail Income: Retail Sales,00-00,2026-01-16 DS,1.00,,0.00,"5,618.82"
NVD-RAIN,Mint Spring Valley,40002,Retail Income: Retail: Discounts and Coupons,00-00,2026-01-16 DS,1.00,,"1,971.37",0.00
NVD-RAIN,Mint Spring Valley,40003,Retail Income: Sales Return,00-00,2026-01-16 DS,1.00,,0.00,0.00
NVD-RAIN,Mint Spring Valley,40004,Loyalty Discounts,00-00,2026-01-16 DS,1.00,,0.00,0.00
NVD-RAIN,Mint Spring Valley,23500,Taxes Payable - Sales & Use,00-00,2026-01-16 DS,1.00,,0.00,644.53
NVD-RAIN,Mint Spring Valley,10000,Cash on Hand,00-00,2026-01-16 DS,1.00,,"4,126.96",0.00
NVD-RAIN,Mint Spring Valley,11010,Debit Card Receivable,00-00,2026-01-16 DS,1.00,,0.00,0.00
NVD-RAIN,Mint Spring Valley,70260,Overage/Shortage: Cash Ledger Adj,00-00,2026-01-16 DS,1.00,,0.00,165.02
NVD-RAIN,Mint Spring Valley,50000,Retail - Consumable Products for Resale,00-00,2026-01-16 DS,1.00,,"2,216.25",0.00
NVD-RAIN,Mint Spring Valley,12250,Inventory - Finished Goods,00-00,2026-01-16 DS,1.00,,0.00,"2,216.25"
MOD-MO4,Mint St. Peters,40001,Retail Income: Retail Sales,00-00,2026-01-16 DS,1.00,,0.00,"43,146.22"
MOD-MO4,Mint St. Peters,40002,Retail Income: Retail: Discounts and Coupons,00-00,2026-01-16 DS,1.00,,"15,338.42",0.00
MOD-MO4,Mint St. Peters,40003,Retail Income: Sales Return,00-00,2026-01-16 DS,1.00,,19.90,0.00
MOD-MO4,Mint St. Peters,40004,Loyalty Discounts,00-00,2026-01-16 DS,1.00,,0.00,0.00
MOD-MO4,Mint St. Peters,23500,Taxes Payable - Sales & Use,00-00,2026-01-16 DS,1.00,,0.00,"4,588.93"
MOD-MO4,Mint St. Peters,10000,Cash on Hand,00-00,2026-01-16 DS,1.00,,"30,439.36",0.00
MOD-MO4,Mint St. Peters,11010,Debit Card Receivable,00-00,2026-01-16 DS,1.00,,0.00,0.00
MOD-MO4,Mint St. Peters,70260,Overage/Shortage: Cash Ledger Adj,00-00,2026-01-16 DS,1.00,,0.00,"1,937.47"
MOD-MO4,Mint St. Peters,50000,Retail - Consumable Products for Resale,00-00,2026-01-16 DS,1.00,,"20,843.84",0.00
MOD-MO4,Mint St. Peters,12250,Inventory - Finished Goods,00-00,2026-01-16 DS,1.00,,0.00,"20,843.84"
AZD-4245IN,Mint Mesa ,40001,Retail Income: Retail Sales,00-00,2026-01-16 DS,1.00,,0.00,"89,309.56"
AZD-4245IN,Mint Mesa ,40002,Retail Income: Retail: Discounts and Coupons,00-00,2026-01-16 DS,1.00,,"38,788.41",0.00
AZD-4245IN,Mint Mesa ,40003,Retail Income: Sales Return,00-00,2026-01-16 DS,1.00,,0.00,0.00
AZD-4245IN,Mint Mesa ,40004,Loyalty Discounts,00-00,2026-01-16 DS,1.00,,0.00,0.00
AZD-4245IN,Mint Mesa ,23500,Taxes Payable - Sales & Use,00-00,2026-01-16 DS,1.00,,0.00,"10,417.21"
AZD-4245IN,Mint Mesa ,10000,Cash on Hand,00-00,2026-01-16 DS,1.00,,"57,933.52",0.00
AZD-4245IN,Mint Mesa ,11010,Debit Card Receivable,00-00,2026-01-16 DS,1.00,,0.00,0.00
AZD-4245IN,Mint Mesa ,70260,Overage/Shortage: Cash Ledger Adj,00-00,2026-01-16 DS,1.00,,0.00,"3,004.84"
AZD-4245IN,Mint Mesa ,50000,Retail - Consumable Products for Resale,00-00,2026-01-16 DS,1.00,,"31,232.34",0.00
AZD-4245IN,Mint Mesa ,12250,Inventory - Finished Goods,00-00,2026-01-16 DS,1.00,,0.00,"31,232.34"
FLD-JA4332,Mint Jacksonville,40001,Retail Income: Retail Sales,00-00,2026-01-16 DS,1.00,,0.00,"6,225.00"
FLD-JA4332,Mint Jacksonville,40002,Retail Income: Retail: Discounts and Coupons,00-00,2026-01-16 DS,1.00,,"3,218.60",0.00
