Branch,Dutchie Store Name,Account,Description,Subaccount,Ref. Number,Quantity,UOM,Debit Amount,Credit Amount
MID-KALAMA,Mint Kalamazoo,40001,Retail Income: Retail Sales,00-00,2026-01-18 DS,1.00,,0.00,"5,554.26"
MID-KALAMA,Mint Kalamazoo,40002,Retail Income: Retail: Discounts and Coupons,00-00,2026-01-18 DS,1.00,,"1,286.69",0.00
MID-KALAMA,Mint Kalamazoo,40003,Retail Income: Sales Return,00-00,2026-01-18 DS,1.00,,0.00,0.00
MID-KALAMA,Mint Kalamazoo,40004,Loyalty Discounts,00-00,2026-01-18 DS,1.00,,162.43,0.00
MID-KALAMA,Mint Kalamazoo,23500,Taxes Payable - Sales & Use,00-00,2026-01-18 DS,1.00,,0.00,680.51
MID-KALAMA,Mint Kalamazoo,10000,Cash on Hand,00-00,2026-01-18 DS,1.00,,"4,558.45",0.00
MID-KALAMA,Mint Kalamazoo,11010,Debit Card Receivable,00-00,2026-01-18 DS,1.00,,0.00,0.00
MID-KALAMA,Mint Kalamazoo,70260,Overage/Shortage: Cash Ledger Adj,00-00,2026-01-18 DS,1.00,,0.00,227.20
MID-KALAMA,Mint Kalamazoo,50000,Retail - Consumable Products for Resale,00-00,2026-01-18 DS,1.00,,"2,534.67",0.00
MID-KALAMA,Mint Kalamazoo,12250,Inventory - Finished Goods,00-00,2026-01-18 DS,1.00,,0.00,"2,534.67"
NVD-RAIN,Mint Spring Valley,40001,Retail Income: Retail Sales,00-00,2026-01-18 DS,1.00,,0.00,"4,497.52"
NVD-RAIN,Mint Spring Valley,40002,Retail Income: Retail: Discounts and Coupons,00-00,2026-01-18 DS,1.00,,"1,446.65",0.00
NVD-RAIN,Mint Spring Valley,40003,Retail Income: Sales Return,00-00,2026-01-18 DS,1.00,,0.00,0.00
NVD-RAIN,Mint Spring Valley,40004,Loyalty Discounts,00-00,2026-01-18 DS,1.00,,0.00,0.00
NVD-RAIN,Mint Spring Valley,23500,Taxes Payable - Sales & Use,00-00,2026-01-18 DS,1.00,,0.00,551.65
NVD-RAIN,Mint Spring Valley,10000,Cash on Hand,00-00,2026-01-18 DS,1.00,,"3,228.98",0.00
NVD-RAIN,Mint Spring Valley,11010,Debit Card Receivable,00-00,2026-01-18 DS,1.00,,0.00,0.00
NVD-RAIN,Mint Spring Valley,70260,Overage/Shortage: Cash Ledger Adj,00-00,2026-01-18 DS,1.00,,0.00,373.54
NVD-RAIN,Mint Spring Valley,50000,Retail - Consumable Products for Resale,00-00,2026-01-18 DS,1.00,,"1,887.99",0.00
NVD-RAIN,Mint Spring Valley,12250,Inventory - Finished Goods,00-00,2026-01-18 DS,1.00,,0.00,"1,887.99"
MOD-MO4,Mint St. Peters,40001,Retail Income: Retail Sales,00-00,2026-01-18 DS,1.00,,0.00,"24,000.52"
MOD-MO4,Mint St. Peters,40002,Retail Income: Retail: Discounts and Coupons,00-00,2026-01-18 DS,1.00,,"7,505.45",0.00
MOD-MO4,Mint St. Peters,40003,Retail Income: Sales Return,00-00,2026-01-18 DS,1.00,,56.10,0.00
MOD-MO4,Mint St. Peters,40004,Loyalty Discounts,00-00,2026-01-18 DS,1.00,,0.00,0.00
MOD-MO4,Mint St. Peters,23500,Taxes Payable - Sales & Use,00-00,2026-01-18 DS,1.00,,0.00,"2,714.21"
MOD-MO4,Mint St. Peters,10000,Cash on Hand,00-00,2026-01-18 DS,1.00,,"17,598.19",0.00
MOD-MO4,Mint St. Peters,11010,Debit Card Receivable,00-00,2026-01-18 DS,1.00,,0.00,0.00
MOD-MO4,Mint St. Peters,70260,Overage/Shortage: Cash Ledger Adj,00-00,2026-01-18 DS,1.00,,0.00,"1,554.99"
MOD-MO4,Mint St. Peters,50000,Retail - Consumable Products for Resale,00-00,2026-01-18 DS,1.00,,"11,333.90",0.00
MOD-MO4,Mint St. Peters,12250,Inventory - Finished Goods,00-00,2026-01-18 DS,1.00,,0.00,"11,333.90"
AZD-4245IN,Mint Mesa ,40001,Retail Income: Retail Sales,00-00,2026-01-18 DS,1.00,,0.00,"45,000.01"
AZD-4245IN,Mint Mesa ,40002,Retail Income: Retail: Discounts and Coupons,00-00,2026-01-18 DS,1.00,,"16,548.33",0.00
AZD-4245IN,Mint Mesa ,40003,Retail Income: Sales Return,00-00,2026-01-18 DS,1.00,,0.00,0.00
AZD-4245IN,Mint Mesa ,40004,Loyalty Discounts,00-00,2026-01-18 DS,1.00,,0.00,0.00
AZD-4245IN,Mint Mesa ,23500,Taxes Payable - Sales & Use,00-00,2026-01-18 DS,1.00,,0.00,"6,471.66"
AZD-4245IN,Mint Mesa ,10000,Cash on Hand,00-00,2026-01-18 DS,1.00,,"33,954.30",0.00
AZD-4245IN,Mint Mesa ,11010,Debit Card Receivable,00-00,2026-01-18 DS,1.00,,0.00,0.00
AZD-4245IN,Mint Mesa ,70260,Overage/Shortage: Cash Ledger Adj,00-00,2026-01-18 DS,1.00,,0.00,969.04
AZD-4245IN,Mint Mesa ,50000,Retail - Consumable Products for Resale,00-00,2026-01-18 DS,1.00,,"14,907.87",0.00
AZD-4245IN,Mint Mesa ,12250,Inventory - Finished Goods,00-00,2026-01-18 DS,1.00,,0.00,"14,907.87"
FLD-JA4332,Mint Jacksonville,40001,Retail Income: Retail Sales,00-00,2026-01-18 DS,1.00,,0.00,"3,649.00"
FLD-JA4332,Mint Jacksonville,40002,Retail Income: Retail: Discounts and Coupons,00-00,2026-01-18 DS,1.00,,"1,971.33",0.00
FLD-JA4332,Mint Jacksonville,40003,Retail Income: Sales Return,00-00,2026-01-18 DS,1.00,,0.00,0.00
FLD-JA4332,Mint Jacksonville,40004,Loyalty Discounts,00-00,2026-01-18 DS,1.00,,0.00,0.00
FLD-JA4332,Mint Jacksonville,23500,Taxes Payable - Sales & Use,00-00,2026-01-18 DS,1.00,,0.00,0.00
FLD-JA4332,Mint Jacksonville,10000,Cash on Hand,00-00,2026-01-18 DS,1.00,,570.62,0.00
FLD-JA4332,Mint Jacksonville,11010,Debit Card Receivable,00-00,2026-01-18 DS,1.00,,900.00,0.00
FLD-JA4332,Mint Jacksonville,70260,Overage/Shortage: Cash Ledger Adj,00-00,2026-01-18 DS,1.00,,0.00,207.05
FLD-JA4332,Mint Jacksonville,50000,Retail - Consumable Products for Resale,00-00,2026-01-18 DS,1.00,,832.00,0.00
FLD-JA4332,Mint Jacksonville,12250,Inventory - Finished Goods,00-00,2026-01-18 DS,1.00,,0.00,832.00
FLD-DELRAY,Mint Delray Beach,40001,Retail Income: Retail Sales,00-00,2026-01-18 DS,1.00,,0.00,"3,352.99"
FLD-DELRAY,Mint Delray Beach,40002,Retail Income: Retail: Discounts and Coupons,00-00,2026-01-18 DS,1.00,,"1,852.24",0.00
FLD-DELRAY,Mint Delray Beach,40003,Retail Income: Sales Return,00-00,2026-01-18 DS,1.00,,0.00,0.00
FLD-DELRAY,Mint Delray Beach,40004,Loyalty Discounts,00-00,2026-01-18 DS,1.00,,0.00,0.00
FLD-DELRAY,Mint Delray Beach,23500,Taxes Payable - Sales & Use,00-00,2026-01-18 DS,1.00,,0.00,0.00
FLD-DELRAY,Mint Delray Beach,10000,Cash on Hand,00-00,2026-01-18 DS,1.00,,"1,025.75",0.00
FLD-DELRAY,Mint Delray Beach,11010,Debit Card Receivable,00-00,2026-01-18 DS,1.00,,410.00,0.00
FLD-DELRAY,Mint Delray Beach,70260,Overage/Shortage: Cash Ledger Adj,00-00,2026-01-18 DS,1.00,,0.00,65.00
FLD-DELRAY,Mint Delray Beach,50000,Retail - Consumable Products for Resale,00-00,2026-01-18 DS,1.00,,552.76,0.00
FLD-DELRAY,Mint Delray Beach,12250,Inventory - Finished Goods,00-00,2026-01-18 DS,1.00,,0.00,552.76
FLD-SARASO,Mint Sarasota,40001,Retail Income: Retail Sales,00-00,2026-01-18 DS,1.00,,0.00,0.00
FLD-SARASO,Mint Sarasota,40002,Retail Income: Retail: Discounts and Coupons,00-00,2026-01-18 DS,1.00,,0.00,0.00
FLD-SARASO,Mint Sarasota,40003,Retail Income: Sales Return,00-00,2026-01-18 DS,1.00,,0.00,0.00
FLD-SARASO,Mint Sarasota,40004,Loyalty Discounts,00-00,2026-01-18 DS,1.00,,0.00,0.00
FLD-SARASO,Mint Sarasota,23500,Taxes Payable - Sales & Use,00-00,2026-01-18 DS,1.00,,0.00,0.00
FLD-SARASO,Mint Sarasota,10000,Cash on Hand,00-00,2026-01-18 DS,1.00,,0.00,0.00
FLD-SARASO,Mint Sarasota,11010,Debit Card Receivable,00-00,2026-01-18 DS,1.00,,0.00,0.00
FLD-SARASO,Mint Sarasota,70260,Overage/Shortage: Cash Ledger Adj,00-00,2026-01-18 DS,1.00,,0.00,0.00
FLD-SARASO,Mint Sarasota,50000,Retail - Consumable Products for Resale,00-00,2026-01-18 DS,1.00,,0.00,0.00
FLD-SARASO,Mint Sarasota,12250,Inventory - Finished Goods,00-00,2026-01-18 DS,1.00,,0.00,0.00
FLD-STUART,Mint Stuart,40001,Retail Income: Retail Sales,00-00,2026-01-18 DS,1.00,,0.00,"4,031.00"
FLD-STUART,Mint Stuart,40002,Retail Income: Retail: Discounts and Coupons,00-00,2026-01-18 DS,1.00,,"2,146.55",0.00
FLD-STUART,Mint Stuart,40003,Retail Income: Sales Return,00-00,2026-01-18 DS,1.00,,0.00,0.00
FLD-STUART,Mint Stuart,40004,Loyalty Discounts,00-00,2026-01-18 DS,1.00,,0.00,0.00
FLD-STUART,Mint Stuart,23500,Taxes Payable - Sales & Use,00-00,2026-01-18 DS,1.00,,0.00,0.00
FLD-STUART,Mint Stuart,10000,Cash on Hand,00-00,2026-01-18 DS,1.00,,"1,414.45",0.00
FLD-STUART,Mint Stuart,11010,Debit Card Receivable,00-00,2026-01-18 DS,1.00,,470.00,0.00
FLD-STUART,Mint Stuart,70260,Overage/Shortage: Cash Ledger Adj,00-00,2026-01-18 DS,1.00,,0.00,0.00
FLD-STUART,Mint Stuart,50000,Retail - Consumable Products for Resale,00-00,2026-01-18 DS,1.00,,923.78,0.00
FLD-STUART,Mint Stuart,12250,Inventory - Finished Goods,00-00,2026-01-18 DS,1.00,,0.00,923.78
FLD-BONITA,Mint Bonita Springs ,40001,Retail Income: Retail Sales,00-00,2026-01-18 DS,1.00,,0.00,"2,943.99"
FLD-BONITA,Mint Bonita Springs ,40002,Retail Income: Retail: Discounts and Coupons,00-00,2026-01-18 DS,1.00,,"1,838.20",0.00
FLD-BONITA,Mint Bonita Springs ,40003,Retail Income: Sales Return,00-00,2026-01-18 DS,1.00,,0.00,0.00
FLD-BONITA,Mint Bonita Springs ,40004,Loyalty Discounts,00-00,2026-01-18 DS,1.00,,0.00,0.00
FLD-BONITA,Mint Bonita Springs ,23500,Taxes Payable - Sales & Use,00-00,2026-01-18 DS,1.00,,0.00,0.00
FLD-BONITA,Mint Bonita Springs ,10000,Cash on Hand,00-00,2026-01-18 DS,1.00,,595.79,0.00
FLD-BONITA,Mint Bonita Springs ,11010,Debit Card Receivable,00-00,2026-01-18 DS,1.00,,450.00,0.00
FLD-BONITA,Mint Bonita Springs ,70260,Overage/Shortage: Cash Ledger Adj,00-00,2026-01-18 DS,1.00,,0.00,60.00
FLD-BONITA,Mint Bonita Springs ,50000,Retail - Consumable Products for Resale,00-00,2026-01-18 DS,1.00,,581.76,0.00
FLD-BONITA,Mint Bonita Springs ,12250,Inventory - Finished Goods,00-00,2026-01-18 DS,1.00,,0.00,581.76
