# GL Journal Export - 2026-01-08
# Source of Truth: Dutchie POS API (/reporting/transactions)
# Generated: 2026-01-23T21:14:38.419Z
# NOTE: Transactions are fetched using local timezone boundaries (midnight-to-midnight).
# Branch codes in this export are derived from Dutchie location names.
#
Branch	Dutchie Store Name	Account	Description	Subaccount	Ref. Number	Quantity	UOM	Debit Amount	Credit Amount
MID-KALAMA	Mint Kalamazoo	40001	Retail Income: Retail Sales	00-00	2026-01-08 DS	1.00		0.00	4,271.77
MID-KALAMA	Mint Kalamazoo	40002	Retail Income: Retail: Discounts and Coupons	00-00	2026-01-08 DS	1.00		1,016.36	0.00
MID-KALAMA	Mint Kalamazoo	40003	Retail Income: Sales Return	00-00	2026-01-08 DS	1.00		0.00	0.00
MID-KALAMA	Mint Kalamazoo	40004	Loyalty Discounts	00-00	2026-01-08 DS	1.00		98.62	0.00
MID-KALAMA	Mint Kalamazoo	23500	Taxes Payable - Sales & Use	00-00	2026-01-08 DS	1.00		0.00	522.83
MID-KALAMA	Mint Kalamazoo	10000	Cash on Hand	00-00	2026-01-08 DS	1.00		3,569.90	0.00
MID-KALAMA	Mint Kalamazoo	11010	Debit Card Receivable	00-00	2026-01-08 DS	1.00		116.72	0.00
MID-KALAMA	Mint Kalamazoo	70260	Overage/Shortage: Cash Ledger Adj	00-00	2026-01-08 DS	1.00		0.00	7.00
MID-KALAMA	Mint Kalamazoo	50000	Retail - Consumable Products for Resale	00-00	2026-01-08 DS	1.00		1,953.55	0.00
MID-KALAMA	Mint Kalamazoo	12250	Inventory - Finished Goods	00-00	2026-01-08 DS	1.00		0.00	1,953.55
NVD-RAIN	Mint Spring Valley	40001	Retail Income: Retail Sales	00-00	2026-01-08 DS	1.00		0.00	3,583.51
NVD-RAIN	Mint Spring Valley	40002	Retail Income: Retail: Discounts and Coupons	00-00	2026-01-08 DS	1.00		1,071.77	0.00
NVD-RAIN	Mint Spring Valley	40003	Retail Income: Sales Return	00-00	2026-01-08 DS	1.00		0.00	0.00
NVD-RAIN	Mint Spring Valley	40004	Loyalty Discounts	00-00	2026-01-08 DS	1.00		0.00	0.00
NVD-RAIN	Mint Spring Valley	23500	Taxes Payable - Sales & Use	00-00	2026-01-08 DS	1.00		0.00	460.20
NVD-RAIN	Mint Spring Valley	10000	Cash on Hand	00-00	2026-01-08 DS	1.00		2,913.22	0.00
NVD-RAIN	Mint Spring Valley	11010	Debit Card Receivable	00-00	2026-01-08 DS	1.00		58.72	0.00
NVD-RAIN	Mint Spring Valley	70260	Overage/Shortage: Cash Ledger Adj	00-00	2026-01-08 DS	1.00		0.00	-0.00
NVD-RAIN	Mint Spring Valley	50000	Retail - Consumable Products for Resale	00-00	2026-01-08 DS	1.00		1,496.22	0.00
NVD-RAIN	Mint Spring Valley	12250	Inventory - Finished Goods	00-00	2026-01-08 DS	1.00		0.00	1,496.22
MOD-MO4	Mint St. Peters	40001	Retail Income: Retail Sales	00-00	2026-01-08 DS	1.00		0.00	25,574.50
MOD-MO4	Mint St. Peters	40002	Retail Income: Retail: Discounts and Coupons	00-00	2026-01-08 DS	1.00		8,144.02	0.00
